Pedal	Category	Type	Current Rating	Current Tag	New Rating	New Tag
=HYPERLINK("https://www.google.com/search?q=Boss%20AC-3%20Acoustic%20Simulator%20guitar%20pedal"; "Boss AC-3 Acoustic Simulator")	amp	Acoustic Sim	6	amplifier		
=HYPERLINK("https://www.google.com/search?q=Boss%20IR-200%20guitar%20pedal"; "Boss IR-200")	amp	Amp Sim	10	simulator		
=HYPERLINK("https://www.google.com/search?q=DSM%20%26%20Humboldt%20Simplifier%20guitar%20pedal"; "DSM & Humboldt Simplifier")	amp	Amp Sim	9	simulator		
=HYPERLINK("https://www.google.com/search?q=DSM%20%26%20Humboldt%20Simplifier%20DLX%20guitar%20pedal"; "DSM & Humboldt Simplifier DLX")	amp	Amp Sim	10	simulator		
=HYPERLINK("https://www.google.com/search?q=Hotone%20Omni%20AC%20guitar%20pedal"; "Hotone Omni AC")	amp	Cab Sim	6	amplifier		
=HYPERLINK("https://www.google.com/search?q=Line%206%20HX%20Stomp%20guitar%20pedal"; "Line 6 HX Stomp")	amp	Amp Sim	10	simulator		
=HYPERLINK("https://www.google.com/search?q=Line%206%20HX%20Stomp%20XL%20guitar%20pedal"; "Line 6 HX Stomp XL")	amp	Amp Sim	10	simulator		
=HYPERLINK("https://www.google.com/search?q=Mooer%20Radar%20guitar%20pedal"; "Mooer Radar")	amp	Cab Sim	7	amplifier		
=HYPERLINK("https://www.google.com/search?q=Neunaber%20Iconoclast%20guitar%20pedal"; "Neunaber Iconoclast")	amp	Cab Sim	9	simulator		
=HYPERLINK("https://www.google.com/search?q=NUX%20Solid%20Studio%20guitar%20pedal"; "NUX Solid Studio")	amp	Cab Sim	8	simulator		
=HYPERLINK("https://www.google.com/search?q=Strymon%20Iridium%20guitar%20pedal"; "Strymon Iridium")	amp	Amp Sim	10	simulator		
=HYPERLINK("https://www.google.com/search?q=Tech%2021%20Fly%20Rig%205%20guitar%20pedal"; "Tech 21 Fly Rig 5")	amp	Amp Sim	8	simulator		
=HYPERLINK("https://www.google.com/search?q=Tech%2021%20SansAmp%20Classic%20guitar%20pedal"; "Tech 21 SansAmp Classic")	amp	Amp Sim	7	amplifier		
=HYPERLINK("https://www.google.com/search?q=Two%20Notes%20Cab%20M%2B%20guitar%20pedal"; "Two Notes Cab M+")	amp	Cab Sim	9	simulator		
=HYPERLINK("https://www.google.com/search?q=Walrus%20Audio%20ACS1%20guitar%20pedal"; "Walrus Audio ACS1")	amp	Amp Sim	9	simulator		
=HYPERLINK("https://www.google.com/search?q=Alexander%20History%20Lesson%20V3%20guitar%20pedal"; "Alexander History Lesson V3")	delay	Multi	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Behringer%20VD400%20Vintage%20Delay%20guitar%20pedal"; "Behringer VD400 Vintage Delay")	delay	Analog	4	repeater		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-200%20guitar%20pedal"; "Boss DD-200")	delay	Digital	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-3%20guitar%20pedal"; "Boss DD-3")	delay	Digital	6	spelunker		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-3%20Digital%20Delay%20(MIJ)%20guitar%20pedal"; "Boss DD-3 Digital Delay (MIJ)")	delay	Digital	6	spelunker		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-5%20guitar%20pedal"; "Boss DD-5")	delay	Digital	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-500%20guitar%20pedal"; "Boss DD-500")	delay	Digital	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-6%20guitar%20pedal"; "Boss DD-6")	delay	Digital	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-7%20guitar%20pedal"; "Boss DD-7")	delay	Digital	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Boss%20DD-8%20guitar%20pedal"; "Boss DD-8")	delay	Digital	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Boss%20DM-2%20Delay%20guitar%20pedal"; "Boss DM-2 Delay")	delay	Analog	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Boss%20DM-2W%20Waza%20guitar%20pedal"; "Boss DM-2W Waza")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Boss%20DM-2W%20Waza%20Craft%20Delay%20guitar%20pedal"; "Boss DM-2W Waza Craft Delay")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Caroline%20Guitar%20Company%20Megabyte%20guitar%20pedal"; "Caroline Guitar Company Megabyte")	delay	Digital	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Catalinbread%20Belle%20Epoch%20guitar%20pedal"; "Catalinbread Belle Epoch")	delay	Tape	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Catalinbread%20Belle%20Epoch%20Deluxe%20guitar%20pedal"; "Catalinbread Belle Epoch Deluxe")	delay	Tape	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Chase%20Bliss%20Thermae%20guitar%20pedal"; "Chase Bliss Thermae")	delay	Analog	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Chase%20Bliss%20Tonal%20Recall%20guitar%20pedal"; "Chase Bliss Tonal Recall")	delay	Analog	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Cooper%20FX%20Generation%20Loss%20MKII%20guitar%20pedal"; "Cooper FX Generation Loss MKII")	delay	Lo-Fi	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Danelectro%20Reel%20Echo%20guitar%20pedal"; "Danelectro Reel Echo")	delay	Tape	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Death%20By%20Audio%20Echo%20Master%20guitar%20pedal"; "Death By Audio Echo Master")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Death%20By%20Audio%20Reverberation%20Machine%20guitar%20pedal"; "Death By Audio Reverberation Machine")	delay	Lo-Fi	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=DigiTech%20Obscura%20guitar%20pedal"; "DigiTech Obscura")	delay	Digital	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=DigiTech%20TimeBender%20guitar%20pedal"; "DigiTech TimeBender")	delay	Digital	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Donner%20Yellow%20Fall%20guitar%20pedal"; "Donner Yellow Fall")	delay	Analog	4	repeater		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Avalanche%20Run%20V2%20guitar%20pedal"; "EarthQuaker Devices Avalanche Run V2")	delay	Ambient	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Disaster%20Transport%20Sr.%20guitar%20pedal"; "EarthQuaker Devices Disaster Transport Sr.")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Space%20Spiral%20guitar%20pedal"; "EarthQuaker Devices Space Spiral")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Echoplex%20EP-3%20guitar%20pedal"; "Echoplex EP-3")	delay	Tape	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Canyon%20guitar%20pedal"; "Electro-Harmonix Canyon")	delay	Digital	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Deluxe%20Memory%20Boy%20guitar%20pedal"; "Electro-Harmonix Deluxe Memory Boy")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Deluxe%20Memory%20Man%20guitar%20pedal"; "Electro-Harmonix Deluxe Memory Man")	delay	Analog	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Deluxe%20Memory%20Man%20(Original)%20guitar%20pedal"; "Electro-Harmonix Deluxe Memory Man (Original)")	delay	Analog	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Deluxe%20Memory%20Man%20550-TT%20guitar%20pedal"; "Electro-Harmonix Deluxe Memory Man 550-TT")	delay	Analog	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Memory%20Boy%20guitar%20pedal"; "Electro-Harmonix Memory Boy")	delay	Analog	6	spelunker		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Memory%20Toy%20guitar%20pedal"; "Electro-Harmonix Memory Toy")	delay	Analog	5	spelunker		
=HYPERLINK("https://www.google.com/search?q=Empress%20Echosystem%20guitar%20pedal"; "Empress Echosystem")	delay	Multi	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Eventide%20H9%20Max%20guitar%20pedal"; "Eventide H9 Max")	delay	Multi	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Eventide%20TimeFactor%20guitar%20pedal"; "Eventide TimeFactor")	delay	Multi	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Fairfield%20Circuitry%20Meet%20Maude%20guitar%20pedal"; "Fairfield Circuitry Meet Maude")	delay	Analog	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Fulltone%20Tube%20Tape%20Echo%20TTE%20guitar%20pedal"; "Fulltone Tube Tape Echo TTE")	delay	Tape	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=GFI%20System%20Specular%20Tempus%20guitar%20pedal"; "GFI System Specular Tempus")	delay	Multi	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20AD%20Mini%20guitar%20pedal"; "Ibanez AD Mini")	delay	Analog	5	spelunker		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20AD9%20Analog%20Delay%20guitar%20pedal"; "Ibanez AD9 Analog Delay")	delay	Analog	6	spelunker		
=HYPERLINK("https://www.google.com/search?q=Ibanez%20AD9%20Analog%20Delay%20guitar%20pedal"; "Ibanez AD9 Analog Delay")	delay	Analog	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=JHS%203%20Series%20Delay%20guitar%20pedal"; "JHS 3 Series Delay")	delay	Digital	6	spelunker		
=HYPERLINK("https://www.google.com/search?q=JHS%20Milkman%20guitar%20pedal"; "JHS Milkman")	delay	Slapback	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=JHS%20Panther%20Cub%20V2%20guitar%20pedal"; "JHS Panther Cub V2")	delay	Analog	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Joyo%20Aquarius%20Delay%20%2B%20Looper%20guitar%20pedal"; "Joyo Aquarius Delay + Looper")	delay	Digital	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Joyo%20D-Seed%20Dual%20Channel%20Delay%20guitar%20pedal"; "Joyo D-Seed Dual Channel Delay")	delay	Digital	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Keeley%20Delay%20Workstation%20guitar%20pedal"; "Keeley Delay Workstation")	delay	Multi	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Keeley%20ECCOS%20guitar%20pedal"; "Keeley ECCOS")	delay	Tape	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Keeley%20Mag%20Echo%20guitar%20pedal"; "Keeley Mag Echo")	delay	Tape	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Line%206%20DL4%20Delay%20Modeler%20guitar%20pedal"; "Line 6 DL4 Delay Modeler")	delay	Digital	8	long term memory		
